Timestamp,concern_summary,resolution_sop,key_topics,sentiment_transition
2025-12-13 02:35:33,Catalog Update: Replace Old Product Listings and Add New Product,"1. Verify the seller by confirming the registered mobile number and name. 2. Instruct the seller to download and open the IndiaMART mobile app. 3. Have the seller log in using the registered mobile number. 4. Ask the seller to confirm they see ""Hi <Name>"" at the top. 5. Tap the three horizontal lines (menu) at the top. 6. Go to Seller Tools. 7. Open Manage Product. 8. Locate the old product (e.g., the listing showing ""Jeans"" or ""Man Jeans""). 9. Tap the product name to edit it if you want to rename it. 10. If editing is not desired, tap the three dots next to the product and choose Deactivate. 11. Confirm deactivation to remove the old product from active listings. 12. Go to Add Product to create a new listing. 13. Enter the new product name (e.g., charcoal). 14. Fill price, quantity, description, and specifications. 15. Add GST details if available. 16. Save the new product and verify it appears in Manage Product. 17. Offer to perform deactivation or product addition on behalf of the seller if they want help. 18. Recommend subscription options and explain GST benefits for business growth. 19. Offer transfer to the premium department for promotional subscriptions if the seller is interested.","Seller Tools, Manage Product, Add Product, Deactivate, Three Dots Menu, Mobile App, GST, Subscription, Edit Product Name, Jeans, Man Jeans, Charcoal, Black Bear",Neutral/briefly confused to cooperative and satisfied after resolution
2025-12-13 02:35:50,Service Listing Activation and GST Eligibility,"1. Verify caller identity. Ask for caller name and registered company name. Confirm the registered mobile number.
2. Confirm GST ownership. Ask if GST is in the business name or another person's name.
3. Advise eligibility based on GST. If GST is not in your business name, recommend free listing only. If GST is in the same business name, explain paid service eligibility.
4. Ask for missing business details. Collect full address and a nearby landmark.
5. Login and navigation. Open the IndiaMART app. Tap the three horizontal lines on the top-left.
6. Go to Seller Store. Click Seller Store > Manage Product.
7. Update address and service locations. Edit business address and add landmark so buyers can find you.
8. Add or edit services. For each service add a clear photo, title, price, short description, and service location. Remove unrelated products (for example, air cooler) if present.
9. Verify category and nature of business. Ensure service category matches the GST nature of business if you plan to upgrade.
10. Set up PNS numbers. Link up to five alternate contact numbers to the PNS so incoming calls ring on all linked numbers.
11. Confirm listing goes live. Save changes and verify the listing appears correctly in search results.
12. Upsell/Value Add: If GST is in the same business name, offer annual paid services for BuyLeads, priority placement, and an assigned account manager to handle queries and improve lead conversion.","GST, PNS number, Seller Store, Manage Product, IndiaMART App, Free listing, Paid services, BuyLeads, Account Manager, Sunil Kumar Painting Services, Rajnagar extension, DVIP mall, Asian paint, 3D painting, Home painting, Air cooler",From confused/concerned about activation to cooperative and satisfied after guided profile updates.
2025-12-13 02:36:12,Dashboard Metrics: Understanding Buyer Enquiry Columns,"1. Greet the caller and ask for permission to verify the account. 2. Ask for the registered mobile number. 3. Ask for company name and location and confirm them aloud. 4. Confirm account type: free seller or paid seller. 5. If audio is poor, ask the caller to repeat or offer to call back. 6. Instruct the caller to log in. 7. Navigate: Go to Dashboard > Enquiries or Leads. 8. Click any requirement or buyer enquiry to open the detailed view. 9. Point to the columns labeled 'Calls Attempted' and 'Responses' on that enquiry. 10. Explain: 'Calls Attempted' shows the recorded call attempts associated with that enquiry. 11. Explain: 'Responses' shows the number of buyer replies or interactions on that enquiry. 12. Clarify privacy: explain that full buyer contact details are accessible only via paid/premium packages or when the buyer shares contact info. 13. If the caller requests to view a buyer page, offer a guided walkthrough of a public sample requirement. Do not share private buyer contact details. 14. If the caller is evaluating premium options, offer to arrange a sales callback and capture the preferred time. 15. Upsell/Value Add: Summarize benefits of premium leads—direct buyer details, buyleads, and priority visibility—and offer to connect to sales now.","Seller Dashboard, Enquiries / Leads, Calls Attempted, Responses, Buyer Profile, Free Seller, Premium Service, Buy Leads, Sales Callback, Turmeric, Rice, Gurugram",Customer started confused and seeking clarification. Conversation became frustrated due to audio and miscommunication. Call ended unresolved with ask to escalate to sales.
2025-12-13 02:36:34,Service Listing and Lead Acquisition for Manpower Provider,"1. Ask the caller to confirm the registered seller name and business. Ask them to open the IndiaMART app and confirm they are logged in.
2. Instruct the seller to tap the three horizontal lines on the top-left of the app.
3. Tell the seller to tap Seller Tools from the menu.
4. Tell the seller to tap Manage Product to view existing listings.
5. Guide the seller to add or edit products by tapping Add Product or Multiple Add.
6. Instruct the seller to upload 3 to 4 clear photos per product, add a concise description, and set prices. Save each product.
7. Advise the seller to raise the listing score above 80 by completing photos, description, and pricing to improve visibility.
8. If irrelevant inquiries came from a wrong requirement, tell the seller to delete that requirement to stop calls.
9. If they need immediate buyer contacts, show them the Buy Lead option and explain single-lead consumption to connect with buyers.
10. Offer support hours and next steps: tell them to contact support between 8:00 AM and 9:00 PM for help or to send photos via WhatsApp for listing assistance.
11. Upsell: Recommend buying Buy Lead credits for instant leads and suggest improving multiple listings to boost organic inquiries.","Seller Tools, Manage Product, Add Product, Buy Lead, Listing Score, 3-4 Photos, Description and Price, Security manpower, Housekeeping manpower, Manpower service, WhatsApp for photos, Support hours 8:00 AM-9:00 PM",Customer started confused and concerned about unwanted calls. After guidance on app navigation and listing steps they became clarified and reassured.
2025-12-13 02:36:54,Catalog Update: Upload Product Images and Details via Seller Portal,"1. Greet the seller and confirm identity. Ask for the registered mobile number and registered business name. 2. Verify which mobile number is registered on the portal. Clarify if multiple numbers belong to the same seller. 3. Instruct the seller to open seller.indiamart.com. Click Login. Enter the registered mobile number. Complete OTP verification. 4. From the dashboard go to Products > My Products. Locate the specific product entry to update. 5. Click the product to open its edit page. On the right/side panel find Photos & Videos or Media. 6. Click Upload. Add clear images and optional video. Include front view, close-up of bristles/texture, packaging, and a usage/context image. 7. Fill product attributes: product type, bristle type, disposable or reusable, brand, MRP/price, short description, and benefits. 8. Save the changes. Preview the product page to confirm photos and details display correctly. 9. If a sales rep provided an official WhatsApp number, you may send photos there. Note: photos sent to WhatsApp may be attached but you must still update details on the portal. 10. If the product does not appear, clear browser cache or log out and log in again. If issues persist, request a support callback or raise a help ticket. 11. Offer Premium Services as value add: explain lead delivery, priority listing, and TrustSeal verification. Ask if the seller wants a callback for plan details.","Seller Tools, seller.indiamart.com, Product Listing, Photos & Videos, WhatsApp upload, Premium Services, TrustSeal, Leads, Toothbrush, Bamboo toothbrush, Bristle type, MRP / Price",Neutral/uncertain due to registration confusion → Cooperative and receptive to instructions; politely declined premium offer.
2025-12-13 02:39:08,Catalog Update: Change Product Listings to New Product Category,"1. Verify the customer by asking for the registered mobile number. Confirm the displayed name. Confirm company name and whether GST remains the same. 2. Ask whether the customer will use the IndiaMART mobile app or desktop. Offer to guide them to download the app if not installed. 3. Instruct the customer to log in with the registered mobile number. Confirm they see their name at the top. 4. Tell the customer to tap the three-line menu at the top. 5. From the menu, ask them to open Seller Tools. If Seller Tools is not visible, ask them to open Manage Product. 6. Instruct them to go to Manage Product and locate the old product listing. 7. Ask them to tap the product name (e.g., the entry showing the old product). 8. Ask them to tap the three dots next to the product name. Offer the options: Edit or Deactivate. 9. If they want to remove old listings, guide them to select Deactivate and confirm. Offer to deactivate the items remotely if the customer prefers. 10. To add the new product, tell them to tap Add Product. 11. In the Add Product form, instruct them to enter the new product name (e.g., charcoal), price, quantity, description, specifications, and upload images. Remind them to add GST details if applicable. 12. Ask them to review and save the new product. Confirm the product appears in Manage Product. 13. Confirm the customer is satisfied and offer additional help. 14. Upsell/value add: Explain subscription benefits for business promotion and offer to transfer the call to the premium team for more information.","Seller Tools, Manage Product, Add Product, Deactivate, Subscription, GST, Mobile App, Three-line menu, IndiaMART, Jeans, Charcoal",Neutral/confused at start to clarified and satisfied at end
2025-12-13 02:39:29,Catalog Onboarding: Activate Service Listing and Update Profile,"1. Verify identity and account. Confirm caller name, registered mobile, and company name. Ask if GST belongs to the same business.
2. Log in to the IndiaMART application with the registered number.
3. Open the left hamburger menu. Tap Seller Store.
4. Go to Manage Product in Seller Store.
5. Edit company profile. Update full address and add a clear landmark.
6. Check GST status. If GST is in your business name, add the GST number in profile. If GST is under another name, do not add it. Use free listing until you get GST in the same name.
7. Remove irrelevant items. Delete any incorrect product entries (for example, remove unrelated air cooler product).
8. Add service listings. For each service, upload photos, set a price, write a short description, and choose the correct service category (3D painting, wall painting, etc.).
9. Specify service locations and coverage area in each listing.
10. Save and publish the listing. Verify the listing shows live in Manage Product.
11. Test receiving inquiries by checking the contact number on the profile and confirming calls come through.
12. Upsell/Value Add: If GST is in your business name, consider upgrading to the annual paid plan to get BuyLeads, higher listing placement, an account manager, and PNS linking of up to five alternate numbers. Contact sales to upgrade.","Seller Store, Manage Product, IndiaMART application, GST, Free Listing, Paid Annual Plan, BuyLeads, PNS (Primary Number Service), Painting Services, 3D painting, Wall painting, Asian paint, Air cooler",Confused/Unable to start → Reassured by guidance → Cooperative and willing to update listing; open to upgrade
2025-12-13 02:39:51,Catalog Dashboard: Understanding Buyer Metrics and Lead Access,"1. Verify identity and login. Ask for the registered mobile and company name. Request the seller to sign in to IndiaMART and confirm they are on the Seller Dashboard. 2. Navigate to the metrics. Go to Dashboard > My Leads or Buyer Requirements. Open a buyer requirement entry. Locate the columns labelled 'Calls Attempted' and 'Responses'. 3. Explain the core meanings and access rules. Tell the customer: 'Calls Attempted' is the number of call attempts logged for that requirement. 'Responses' is the count of buyers who replied or showed interest. Explain that free sellers see summary metrics and may receive direct incoming inquiries. State that full buyer contact details are available only via Premium Leads or a paid package. Show how to unlock a lead: Click 'View Requirement' > Click 'Unlock Contact' or 'Get Lead' and follow the purchase prompts, or request a sales callback for a demo. 4. Offer value add and next steps. Offer a free listing review and tips to improve visibility. Recommend Premium Leads for unmasked buyer contacts. Offer to schedule a sales-team callback to explain packages and ROI.","Seller Dashboard, Calls Attempted, Responses, Buyer Requirements, My Leads, Premium Leads, Free Seller, Catalog, Turmeric, Rice, Sales Callback, Lead Quality",Customer moved from confused to frustrated. Call ended disconnected and the issue remained unresolved.
2025-12-13 02:40:14,Service Listing Visibility and Lead Acquisition for Seller Catalog,"1. Verification and login. Greet seller. Confirm registered mobile number or company name. Ask the seller to open the IndiaMART app and log in. 2. Navigation to product manager. Tap the three-line menu at top-left. Tap Seller Tools. Tap Manage Product. 3. Locate current entries. Check for any existing service listings under Manpower or Security Manpower. 4. Edit or remove incorrect requirements. If a wrong requirement is posted, open it and delete or edit the entry. 5. Add or update a service listing. Tap Add Product or Multiple Add. Choose Service as the category and the correct subcategory. 6. Complete listing details. Upload 3 to 4 clear photos. Add a concise description. Enter a price or rate. Fill all required attributes. 7. Improve listing score. Ensure photos, price and description are complete. Raise the listing score above 80% to boost visibility. 8. Publish and verify. Save and publish the listing. Re-open Manage Product to confirm the listing is visible. 9. Short-term lead option. Advise using Buy Lead to consume individual leads immediately. 10. Support and follow-up. Offer WhatsApp for photo upload help. Inform seller support hours (8:00 AM to 9:00 PM). 11. Upsell / value add. Recommend purchase of Buy Lead credits or a Listing Boost service for faster enquiries. Offer assistance with professional photos and listing optimization.","Seller Tools, Manage Product, Buy Lead, Listing Score, Photos, Description, Price, Service Listing, Security Manpower, WhatsApp Support, Support Hours",Confused and seeking leads -> Clarified after step-by-step guidance -> Reassured and thankful at end
2025-12-13 02:40:30,Catalog Update: Add Product Photos and Details,"1. Verify customer identity by asking for the registered mobile number and vendor name. 2. Confirm which mobile number is registered on the account before proceeding. 3. Instruct the customer to open seller.indiamart.com and log in using the registered mobile number and OTP. 4. On the dashboard, go to Products > My Products. 5. Select the existing product to edit or click Add Product to create a new listing. 6. Click the Photos/Videos or Media section for that product. 7. Upload clear product images and optional video. Use multiple angles and close-ups of features. 8. Fill mandatory product fields: title, MRP, product type, bristle type, disposable or reusable, brand, description, and benefits. 9. Review the preview, then Save and Publish the product. 10. If the customer prefers help, ask them to send photos to IndiaMART's official WhatsApp. Inform them that photos can be uploaded there but product details must still be filled on seller.indiamart.com. 11. Offer premium services as a value add: explain TrustSeal verification, priority listings, and lead delivery. Ask if they want a callback to discuss plans.","Seller Tools, Product Listing, Photos/Videos Upload, WhatsApp Upload, MRP, Bristle Type, Disposable Product, TrustSeal, Premium Plan, toothbrush, bamboo toothbrush, Unnati Enterprises, seller.indiamart.com",Confused/Uncertain to Reassured and Cooperative
2025-12-13 03:01:33,Catalog Update: Product Listing Change,"1. Confirm the caller by asking and verifying the registered mobile number. 2. Instruct the user to download and open the IndiaMART app. 3. Log in using the verified mobile number and OTP. 4. Confirm the user sees the greeting with their name at the top. 5. Tap the three-line menu at the top. 6. Tap Seller Tools. 7. Tap Manage Product. 8. Locate the existing product entry in the list. 9. Tap the product name or the three dots beside it. 10. To remove old listings, choose Deactivate from the options and confirm. 11. To update the same listing, tap the product name, edit the name and details, and save. 12. To add the new product, tap Add Product. 13. Enter product name, price, quantity, description, and specifications. 14. Save the new product and confirm it appears in Manage Product. 15. Verify GST details are present for the account. 16. Offer monthly or annual subscription for promotion and premium assistance. 17. If the user agrees, transfer or connect them to the premium team for lead promotion and support.","IndiaMART app, Mobile login, Three-line menu, Seller Tools, Manage Product, Add Product, Deactivate, Edit product name, Price, Quantity, Description, Specifications, GST, Subscription (monthly/annual), Jeans, Charcoal, Wood charcoal",Neutral/uncertain to guided and satisfied
2025-12-13 04:48:27,Lead Purchase vs Seller Listing Mismatch,"1. Verify customer identity. Ask for registered name, company name, and mobile number. Confirm the transaction amount and time. 2. Ask the customer to log in or guide them to log in. Say: Go to Seller Dashboard > Payments > Transactions. 3. In Transactions, locate the ₹470 entry. Click View Details. 4. Check transaction type. If it shows 'Single Lead' or 'Buyer Details', tell the customer this payment bought one buyer lead. 5. Navigate to My Requirements or Enquiries. Click the listed requirement. If the customer did not intend to post a requirement, click Delete or Disable. 6. Navigate to My Catalog > My Listings. Confirm seller listings are active and correct. Turn off any unwanted 'buy' posts. 7. If the customer requests a refund and it meets policy, Click Raise Refund or Contact Billing Team. Note the refund reference ID and share ETA. 8. If the transaction is non-refundable or within policy limits, explain options clearly: use the single lead contact, or request support to escalate. 9. Offer immediate assistance: if the customer wants, arrange a callback from the packages team. Transfer the call or create a callback ticket. 10. Close with value add. Explain package benefits for sellers. Offer a short trial or a package demo to get daily leads.","Seller Tools, Payments, Leads, Single Lead, Requirements, My Catalog, Refund, Packages, Buyer Details, Transactions, silica sand, ₹470, Sai Enterprises",Customer confused and frustrated about payment purpose to calmer and agreeable after explanation and callback arrangement.
